login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
neuralmagic,neuralmagic/evalplus,2024-07-09T18:03:26Z,0,0,Python,TRUE,FALSE,Apache License 2.0
alamb,alamb/datafusion-site,2024-07-09T11:57:37Z,0,0,,TRUE,FALSE,N/A
xianfei,xianfei/Vach,2024-07-09T09:14:09Z,0,0,,TRUE,TRUE,N/A
jeremydaly,jeremydaly/gps-tracking-ampt,2024-07-08T19:44:43Z,0,0,TypeScript,TRUE,TRUE,N/A
mikesplain,mikesplain/aladdin-connect-temp,2024-07-08T13:28:45Z,0,0,Python,TRUE,TRUE,MIT License
eyeseast,eyeseast/boston-neighborhoods,2024-07-07T14:44:43Z,0,0,Makefile,TRUE,TRUE,N/A
nikomatsakis,nikomatsakis/append-only-vec,2024-07-07T12:12:38Z,0,0,Rust,TRUE,TRUE,N/A
LimHyungTae,LimHyungTae/evo,2024-07-05T18:59:13Z,0,0,,TRUE,TRUE,GNU General Public License v3.0
mairin,mairin/dev-docs,2024-07-04T16:58:01Z,0,0,Makefile,TRUE,TRUE,Apache License 2.0
johntango,johntango/Agents_NewsGather,2024-07-04T15:17:26Z,1,1,JavaScript,TRUE,TRUE,MIT License
radical,radical/extensions,2024-07-04T09:43:15Z,0,0,,TRUE,TRUE,MIT License
JohnbelMDev,JohnbelMDev/AgentBaker,2024-07-04T05:38:06Z,0,0,,TRUE,TRUE,MIT License
JohnbelMDev,JohnbelMDev/azure-docs-sdk-java,2024-07-04T05:02:33Z,0,0,,TRUE,TRUE,Creative Commons Attribution 4.0 International
